,external_ids,id,is_trans,name,rgb
0,"{'BrickOwl': {'ext_descrs': [['Black']], 'ext_ids': [38]}, 'Peeron': {'ext_descrs': [['black']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Black']], 'ext_ids': [11]}, 'LDraw': {'ext_descrs': [['Black']], 'ext_ids': [0]}, 'LEGO': {'ext_descrs': [['Black', 'BLACK'], ['Metallic Black', 'MET.BLACK'], ['CONDUCT. BLACK']], 'ext_ids': [26, 149, 1012]}}",0,False,Black,05131D
1,"{'BrickOwl': {'ext_descrs': [['Blue']], 'ext_ids': [39]}, 'Peeron': {'ext_descrs': [['blue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Blue']], 'ext_ids': [7]}, 'LDraw': {'ext_descrs': [['Blue']], 'ext_ids': [1]}, 'LEGO': {'ext_descrs': [['Bright Blue', 'BR.BLUE'], ['Metallic Bright Blue', 'MET. BR. BLUE']], 'ext_ids': [23, 185]}}",1,False,Blue,0055BF
2,"{'BrickOwl': {'ext_descrs': [['Green']], 'ext_ids': [61]}, 'Peeron': {'ext_descrs': [['green']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Green']], 'ext_ids': [6]}, 'LDraw': {'ext_descrs': [['Green'], ['Metallic_Dark_Green']], 'ext_ids': [2, 186]}, 'LEGO': {'ext_descrs': [['Dark green', 'DK.GREEN'], ['Metallic Dark Green', 'MET. DK. GREEN']], 'ext_ids': [28, 186]}}",2,False,Green,237841
3,"{'BrickOwl': {'ext_descrs': [['Dark Turquoise']], 'ext_ids': [58]}, 'Peeron': {'ext_descrs': [['teal']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Dark Turquoise']], 'ext_ids': [39]}, 'LDraw': {'ext_descrs': [['Dark_Turquoise']], 'ext_ids': [3]}, 'LEGO': {'ext_descrs': [['Bright bluish green', 'BR.BLUEGREEN']], 'ext_ids': [107]}}",3,False,Dark Turquoise,008F9B
4,"{'BrickOwl': {'ext_descrs': [['Red']], 'ext_ids': [81]}, 'Peeron': {'ext_descrs': [['red']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Red']], 'ext_ids': [5]}, 'LDraw': {'ext_descrs': [['Red'], ['Metallic_Bright_Red']], 'ext_ids': [4, 184]}, 'LEGO': {'ext_descrs': [['Bright red', 'BR.RED'], ['Metallic Bright Red', 'MET. BR. RED']], 'ext_ids': [21, 184]}}",4,False,Red,C91A09
5,"{'BrickOwl': {'ext_descrs': [['Dark Pink']], 'ext_ids': [17]}, 'Peeron': {'ext_descrs': [['dkpink']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Dark Pink']], 'ext_ids': [47]}, 'LDraw': {'ext_descrs': [['Dark_Pink']], 'ext_ids': [5]}, 'LEGO': {'ext_descrs': [['Bright Purple', 'BR. PURPLE']], 'ext_ids': [221]}}",5,False,Dark Pink,C870A0
6,"{'BrickOwl': {'ext_descrs': [['Brown']], 'ext_ids': [46]}, 'Peeron': {'ext_descrs': [['oldbrown']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Brown']], 'ext_ids': [8]}, 'LDraw': {'ext_descrs': [['Brown']], 'ext_ids': [6]}, 'LEGO': {'ext_descrs': [['Sand Yellow Metallic', 'MET. EAR.ORA'], ['Brown'], ['Earth Orange', 'EARTH-ORA']], 'ext_ids': [187, 217, 25]}}",6,False,Brown,583927
7,"{'BrickOwl': {'ext_descrs': [['Light Gray']], 'ext_ids': [66]}, 'Peeron': {'ext_descrs': [['oldgray']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Light Gray']], 'ext_ids': [9]}, 'LDraw': {'ext_descrs': [['Light_Gray']], 'ext_ids': [7]}, 'LEGO': {'ext_descrs': [['Grey']], 'ext_ids': [2]}}",7,False,Light Gray,9BA19D
8,"{'BrickOwl': {'ext_descrs': [['Dark Gray']], 'ext_ids': [53]}, 'Peeron': {'ext_descrs': [['olddkgray']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Dark Gray']], 'ext_ids': [10]}, 'LDraw': {'ext_descrs': [['Dark_Gray']], 'ext_ids': [8]}, 'LEGO': {'ext_descrs': [['Dark grey', 'DK.GREY']], 'ext_ids': [27]}}",8,False,Dark Gray,6D6E5C
9,"{'BrickOwl': {'ext_descrs': [['Light Blue']], 'ext_ids': [63]}, 'Peeron': {'ext_descrs': [['ltblue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Light Blue']], 'ext_ids': [62]}, 'LDraw': {'ext_descrs': [['Light_Blue']], 'ext_ids': [9]}, 'LEGO': {'ext_descrs': [['Light blue']], 'ext_ids': [45]}}",9,False,Light Blue,B4D2E3
